"gene_name","trt1","trt2","untrt1","untrt2"
"CTD-2281E23.1",0,0,0,0
"CTD-2281E23.2",0,0,0,0
"CTD-2281E23.3",0,0,0,0
"CTD-2281M20.1",0,0,0,0
"CTD-2282P23.1",0,0,0,0
"CTD-2283N19.1",7,1,3,3
"CTD-2284J15.1",2,1,0,1
"CTD-2284O10.3",0,0,0,0
"CTD-2285G11.1",1,1,2,1
"CTD-2286N8.2",8,12,10,5
"CTD-2287N17.1",0,0,0,0
"CTD-2287O16.1",4800,3295,4667,6778
"CTD-2287O16.3",0,0,0,0
"CTD-2287O16.4",1,0,2,1
"CTD-2287O16.5",33,34,58,63
"CTD-2288F12.1",4,1,0,2
"CTD-2288O8.1",0,0,0,3
"CTD-2290C23.1",1,0,0,0
"CTD-2290C23.2",0,0,0,0
"CTD-2290P7.1",2,4,4,9
"CTD-2291D10.1",0,0,0,0
"CTD-2291D10.2",0,0,0,0
"CTD-2291D10.3",0,0,0,0
"CTD-2291D10.4",1,2,2,2
"CTD-2292M14.1",0,0,0,0
"CTD-2292M16.7",0,0,0,0
"CTD-2292M16.8",31,21,25,56
"CTD-2292P10.2",0,0,0,0
"CTD-2292P10.4",5,2,7,15
"CTD-2293H3.1",0,1,0,1
"CTD-2293H3.2",0,1,2,3
"CTD-2296D1.1",0,0,0,0
"CTD-2296D1.2",0,0,0,0
"CTD-2296D1.3",0,0,0,0
"CTD-2296D1.4",0,0,0,0
"CTD-2296D1.5",0,0,0,0
"CTD-2297D10.1",0,0,0,0
"CTD-2297D10.2",0,0,0,0
"CTD-2298J14.1",0,0,0,0
"CTD-2298J14.2",0,0,2,0
"CTD-2299E8.1",0,0,0,0
"CTD-2299I21.1",44,52,69,102
"CTD-2301A4.1",0,0,1,0
"CTD-2301A4.3",0,0,0,0
"CTD-2301A4.5",207,131,204,278
"CTD-2302A16.2",0,0,0,0
"CTD-2302E22.1",0,0,0,0
"CTD-2302E22.2",0,0,0,0
"CTD-2302E22.4",1,0,2,5
"CTD-2302E22.5",37,16,32,23
"CTD-2303H24.2",87,31,84,50
"CTD-2306M10.1",0,0,0,0
"CTD-2306M5.1",0,0,0,0
"CTD-2307P3.1",0,0,0,0
"CTD-2308B18.1",0,0,0,0
"CTD-2308B18.2",0,0,0,0
"CTD-2308B18.3",0,0,0,0
"CTD-2308B18.4",0,0,0,0
"CTD-2308G16.1",0,0,1,1
"CTD-2308L22.1",2,0,5,2
"CTD-2308N23.2",0,0,1,2
"CTD-2309H9.2",0,0,0,0
"CTD-2309H9.3",0,0,0,0
"CTD-2309H9.4",0,0,0,0
"CTD-2309O5.3",0,0,0,0
"CTD-2310F14.1",5,1,3,7
"CTD-2311A18.1",0,0,0,0
"CTD-2311B13.1",0,0,0,0
"CTD-2311B13.2",0,0,0,0
"CTD-2311B13.5",0,0,0,0
"CTD-2311B13.7",0,0,0,0
"CTD-2311B13.8",0,0,0,0
"CTD-2311M21.2",3,3,2,5
"CTD-2311M21.3",1,0,1,1
"CTD-2312P21.1",0,0,0,0
"CTD-2313D3.1",0,0,0,0
"CTD-2313F11.1",0,0,0,0
"CTD-2313F11.2",0,0,0,0
"CTD-2313F11.3",0,0,0,0
"CTD-2313J17.1",1,0,0,0
"CTD-2313J17.3",0,0,0,0
"CTD-2313J17.5",2,10,2,2
"CTD-2313J23.1",0,0,0,0
"CTD-2313N18.5",4,0,3,21
"CTD-2313N18.7",1,0,3,2
"CTD-2313N18.8",0,0,0,0
"CTD-2313P7.1",0,0,0,0
"CTD-2314B22.1",0,0,0,0
"CTD-2314B22.2",0,0,0,0
"CTD-2314B22.3",5,3,4,11
"CTD-2314G24.2",0,0,0,0
"CTD-2315A10.1",0,0,0,0
"CTD-2315A10.2",2,2,2,2
"CTD-2315E11.1",0,0,0,0
"CTD-2316B1.1",0,0,0,0
"CTD-2316B1.2",0,0,0,0
"CTD-2318B16.1",0,0,0,0
"CTD-2318B16.2",0,0,0,0
"CTD-2318B16.3",0,0,0,0
"CTD-2318B16.4",0,0,0,0
"CTD-2318H23.1",0,0,0,0
"CTD-2319I12.1",38,28,14,102
"CTD-2319I12.2",5,1,5,3
"CTD-2319I12.3",0,0,0,0
"CTD-2319I12.4",47,18,34,28
"CTD-2319I12.5",1,0,0,1
"CTD-2320B12.1",0,0,0,0
"CTD-2320B12.2",0,0,0,0
"CTD-2320B12.3",0,0,0,0
"CTD-2320G14.2",0,0,0,0
"CTD-2320J21.1",0,1,1,3
"CTD-2323K18.1",1,0,8,5
"CTD-2323K18.2",0,0,2,0
"CTD-2323K18.3",0,1,0,0
"CTD-2324A24.2",0,0,0,0
"CTD-2324F15.2",0,0,0,0
"CTD-2325A15.2",0,0,0,0
"CTD-2325A15.3",0,1,1,1
"CTD-2325A15.5",0,0,0,0
"CTD-2325B11.1",0,0,0,0
"CTD-2325K12.1",10,14,16,14
"CTD-2325M2.1",5,2,7,12
"CTD-2325P2.2",0,0,0,0
"CTD-2325P2.3",1,2,3,5
"CTD-2325P2.4",0,0,0,0
"CTD-2328D6.1",1292,880,3276,1812
"CTD-2329C7.2",0,0,0,0
"CTD-2329K10.1",1,2,1,0
"CTD-2330J20.1",0,0,0,0
"CTD-2330J20.2",0,0,0,0
"CTD-2330K9.2",0,0,0,0
"CTD-2330K9.3",0,0,3,0
"CTD-2331C18.5",0,0,0,0
"CTD-2331D11.2",0,0,0,0
"CTD-2331D11.3",0,0,0,0
"CTD-2331D11.4",0,0,0,0
"CTD-2331H12.5",20,15,21,52
"CTD-2331H12.7",4,6,1,4
"CTD-2332E11.2",0,0,0,0
"CTD-2333K2.1",0,0,0,0
"CTD-2333M24.1",0,0,0,0
"CTD-2334D19.1",41,14,12,15
"CTD-2335L22.6",0,0,0,0
"CTD-2335O3.2",0,0,0,0
"CTD-2335O3.3",0,0,0,0
"CTD-2336H13.1",0,0,0,0
"CTD-2336H13.2",0,0,0,0
"CTD-2336O2.1",286,168,448,387
"CTD-2336O2.2",5,1,8,4
"CTD-2337A12.1",3,11,11,17
"CTD-2337I7.1",4,3,4,5
"CTD-2337J16.1",0,0,0,0
"CTD-2339F6.1",1,0,2,11
"CTD-2339L15.3",0,0,0,0
"CTD-2339M3.1",0,0,0,0
"CTD-2340D6.1",0,0,0,0
"CTD-2340D6.2",0,0,0,0
"CTD-2340E1.2",0,0,0,0
"CTD-2340F8.1",0,0,0,0
"CTD-2340F8.3",0,0,0,0
"CTD-2341M24.1",0,0,0,0
"CTD-2342I9.1",6,1,4,8
"CTD-2342J14.6",1,1,8,0
"CTD-2342N23.2",0,0,0,0
"CTD-2342N23.3",0,0,0,0
"CTD-2343P13.1",0,1,2,1
"CTD-2345M20.2",0,0,0,0
"CTD-2347I17.1",0,0,0,0
"CTD-2349B8.1",0,0,1,0
"CTD-2349P21.1",0,2,0,2
"CTD-2349P21.10",10,4,3,7
"CTD-2349P21.11",0,1,1,0
"CTD-2349P21.5",1,0,1,5
"CTD-2349P21.6",1,2,0,5
"CTD-2349P21.9",12,18,9,24
"CTD-2350C19.1",30,19,23,21
"CTD-2350C19.2",0,1,0,0
"CTD-2350C19.5",0,0,0,0
"CTD-2350J17.1",0,0,0,0
"CTD-2351A8.1",0,0,0,0
"CTD-2353F22.1",1,0,0,1
"CTD-2353N24.1",0,0,0,0
"CTD-2354A18.1",1,0,1,0
"CTD-2355J17.2",0,0,0,0
"CTD-2356P16.6",0,0,0,0
"CTD-2357A8.3",0,0,0,0
"CTD-2358C21.2",0,0,0,0
"CTD-2358C21.3",0,0,0,0
"CTD-2358C21.4",3,5,12,2
"CTD-2363C16.1",0,0,0,0
"CTD-2363C16.2",0,0,0,0
"CTD-2366F13.1",77,75,170,243
"CTD-2366F13.2",1,0,1,3
"CTD-2367A17.1",0,0,0,0
"CTD-2368P22.1",135,92,177,239
"CTD-2369P2.10",0,0,0,0
"CTD-2369P2.12",0,0,0,0
"CTD-2369P2.2",1969,1322,1869,2013
"CTD-2369P2.4",0,0,0,0
"CTD-2369P2.5",0,0,0,0
"CTD-2369P2.8",0,0,1,0
"CTD-2370N5.3",0,0,0,0
"CTD-2371O3.2",0,0,1,0
"CTD-2372A4.1",0,1,0,2
"CTD-2373H9.5",3,1,4,5
"CTD-2373J19.1",1207,1331,946,1788
"CTD-2373J6.1",3,2,1,1
"CTD-2373N4.5",1,0,0,1
"CTD-2374C24.1",0,0,0,0
"CTD-2375G15.1",0,0,0,1
"CTD-2376I20.1",0,0,0,0
"CTD-2376I4.1",1,1,0,4
"CTD-2376I4.2",4,1,2,12
"CTD-2377D24.2",0,0,0,0
"CTD-2377D24.4",0,0,0,0
"CTD-2377D24.6",0,0,0,0
"CTD-2377D24.8",0,0,0,0
"CTD-2377O17.1",0,0,0,0
"CTD-2378E21.1",0,0,0,0
"CTD-2380F24.1",0,1,1,1
"CTD-2381F24.1",0,0,0,0
"CTD-2382E5.1",0,1,1,0
"CTD-2382E5.2",0,0,0,0
"CTD-2382E5.4",0,0,0,0
"CTD-2382H12.1",0,0,0,0
"CTD-2382H12.2",0,0,0,0
"CTD-2383I20.1",0,0,0,0
"CTD-2383M3.1",0,0,1,0
"CTD-2384A14.1",0,0,0,0
"CTD-2384A14.2",0,0,0,0
"CTD-2384B11.2",2,0,0,0
"CTD-2384B9.1",75,30,67,60
"CTD-2385L22.1",0,0,0,0
"CTD-2396E7.10",0,0,0,0
"CTD-2396E7.7",11,7,11,43
"CTD-2396E7.8",0,4,2,0
"CTD-2396E7.9",0,0,0,0
"CTD-2410N18.1",0,0,0,0
"CTD-2410N18.3",1,4,5,2
"CTD-2410N18.4",0,0,0,0
"CTD-2410N18.5",0,0,0,0
"CTD-2501B8.5",0,0,0,0
"CTD-2501E16.2",0,0,0,0
"CTD-2501M5.1",0,0,4,1
"CTD-2501O3.2",5,3,1,6
"CTD-2501O3.3",0,0,0,0
"CTD-2503I6.1",0,0,0,0
"CTD-2503O16.1",0,0,0,0
"CTD-2503O16.3",13,0,13,22
"CTD-2503O16.4",1,0,0,0
"CTD-2506J14.1",0,0,0,0
"CTD-2507G9.1",1,1,1,1
"CTD-2509G16.1",0,0,0,0
"CTD-2509G16.2",0,0,0,2
"CTD-2509G16.3",0,0,0,0
"CTD-2509G16.5",0,0,0,0
"CTD-2510F5.2",0,0,0,0
"CTD-2510F5.4",33,10,10,14
"CTD-2510F5.6",0,0,0,0
"CTD-2514C3.1",0,0,0,0
"CTD-2514K5.2",9,3,11,10
"CTD-2514K5.4",0,0,0,1
"CTD-2515A14.1",1,6,1,7
"CTD-2515C13.1",10,8,15,8
"CTD-2515C13.2",0,0,0,0
"CTD-2515H24.1",0,0,0,0
"CTD-2515H24.3",0,0,0,0
"CTD-2515H24.4",0,0,0,0
"CTD-2516F10.2",52,74,26,145
"CTD-2516F10.4",0,0,1,0
"CTD-2516K3.3",48,35,55,67
"CTD-2517M14.5",3,2,2,2
"CTD-2517M22.14",4,5,20,21
"CTD-2517M22.16",0,0,0,0
"CTD-2517M22.17",1,1,0,1
"CTD-2517M22.9",0,0,0,0
"CTD-2517O10.5",0,0,0,1
"CTD-2517O10.6",3,9,1,4
"CTD-2518G19.1",0,0,0,0
"CTD-2520I13.1",0,0,0,0
"CTD-2521M24.10",0,0,0,0
"CTD-2521M24.11",0,0,0,0
"CTD-2521M24.4",0,1,0,0
"CTD-2521M24.5",0,0,0,0
"CTD-2521M24.6",11,2,3,2
"CTD-2521M24.8",0,0,0,0
"CTD-2521M24.9",7,13,8,18
"CTD-2522B17.4",0,0,0,0
"CTD-2522B17.5",0,0,0,0
"CTD-2522B17.6",0,0,0,0
"CTD-2522B17.8",0,0,0,0
"CTD-2522E6.4",14,4,9,6
"CTD-2523D13.1",0,0,0,0
"CTD-2523D13.2",0,1,1,2
"CTD-2524L6.3",0,1,2,0
"CTD-2525I3.2",0,0,0,1
"CTD-2525I3.3",3,4,1,8
"CTD-2525I3.5",0,2,1,3
"CTD-2525I3.6",1,0,1,1
"CTD-2526A2.2",1,0,1,2
"CTD-2526A2.5",0,0,0,0
"CTD-2526A2.6",0,0,0,1
"CTD-2526L21.2",0,0,0,0
"CTD-2526L21.3",0,0,0,0
"CTD-2526M8.2",0,0,0,0
"CTD-2526M8.3",0,0,0,0
"CTD-2527I21.14",12,2,7,7
"CTD-2527I21.4",0,0,0,0
"CTD-2527I21.7",0,0,0,0
"CTD-2527I21.9",0,0,1,0
"CTD-2528A14.1",0,0,0,0
"CTD-2528A14.3",0,0,0,0
"CTD-2528A14.5",1,0,0,0
"CTD-2528L19.3",38,33,49,45
"CTD-2528L19.4",0,0,0,1
"CTD-2528L19.6",41,41,50,73
"CTD-2529O21.1",1,0,0,0
"CTD-2529O21.2",0,0,0,1
"CTD-2529P6.3",3,0,1,0
"CTD-2529P6.4",0,0,0,0
"CTD-2530H12.1",0,0,0,0
"CTD-2530H12.2",0,0,0,0
"CTD-2530H12.4",2,0,2,0
"CTD-2530H12.5",0,0,0,0
"CTD-2530H12.7",0,0,0,0
"CTD-2530H12.8",1,0,8,1
"CTD-2530N21.4",45,29,25,30
"CTD-2531D15.4",0,0,0,0
"CTD-2531D15.5",0,0,0,0
"CTD-2532D12.4",0,0,0,1
"CTD-2532D12.5",0,0,0,0
"CTD-2532K18.1",1,0,0,0
"CTD-2532K18.2",1,1,5,2
"CTD-2532N20.1",0,2,0,1
"CTD-2533G20.1",0,0,0,0
"CTD-2533K21.1",0,0,0,0
"CTD-2533K21.2",0,0,0,0
"CTD-2533K21.3",0,0,0,0
"CTD-2533K21.4",0,0,0,0
"CTD-2534I21.8",0,0,0,0
"CTD-2534I21.9",0,0,0,0
"CTD-2534J5.1",0,0,0,0
"CTD-2535I10.1",0,0,0,0
"CTD-2535L24.2",0,0,0,0
"CTD-2535L24.3",0,0,0,0
"CTD-2535P7.1",0,0,0,0
"CTD-2535P7.2",0,0,0,0
"CTD-2536I1.1",1,5,0,1
"CTD-2537I9.12",55,34,45,52
"CTD-2537I9.13",2,0,7,0
"CTD-2537I9.16",0,0,1,0
"CTD-2537I9.5",1,2,1,1
"CTD-2537L20.1",0,0,0,0
"CTD-2537O9.1",0,0,0,0
"CTD-2538A21.1",17,5,5,7
"CTD-2538C1.2",10,4,9,11
"CTD-2538C1.3",0,0,1,0
"CTD-2538G9.3",1,0,0,0
"CTD-2538G9.5",3,2,2,5
"CTD-2538G9.6",0,0,0,0
"CTD-2540B15.10",0,0,0,0
"CTD-2540B15.11",0,0,0,0
"CTD-2540B15.12",0,0,0,0
"CTD-2540B15.13",0,0,0,0
"CTD-2540B15.6",0,0,0,0
"CTD-2540B15.7",0,0,0,0
"CTD-2540B15.9",0,0,0,0
"CTD-2540F13.2",1,0,1,1
"CTD-2540L5.5",0,0,0,0
"CTD-2540L5.6",0,0,0,0
"CTD-2540M10.1",0,0,0,0
"CTD-2541J13.1",62,93,122,199
"CTD-2541J13.2",0,0,0,0
"CTD-2541M15.1",5,3,9,14
"CTD-2541M15.3",0,2,3,1
"CTD-2541M15.4",28,17,19,20
"CTD-2542C24.1",0,0,0,0
"CTD-2542C24.2",1,0,0,0
"CTD-2542C24.3",0,0,0,0
"CTD-2542C24.4",0,0,0,0
"CTD-2542C24.7",0,0,0,1
"CTD-2542C24.8",0,0,0,0
"CTD-2542C24.9",0,0,0,0
"CTD-2542L18.1",0,0,0,1
"CTD-2542O7.2",0,0,0,0
"CTD-2544H17.1",0,0,0,0
"CTD-2544H17.2",0,0,0,0
"CTD-2544L4.1",1,0,1,5
"CTD-2544M6.1",0,0,0,0
"CTD-2544M6.2",0,0,0,0
"CTD-2544N14.3",0,0,0,0
"CTD-2545G14.2",0,0,0,0
"CTD-2545G14.7",0,0,0,0
"CTD-2545H1.1",0,0,0,0
"CTD-2545H1.2",0,0,0,0
"CTD-2545M3.2",0,0,0,0
"CTD-2545M3.6",0,0,0,0
"CTD-2545M3.8",10,2,3,4
"CTD-2547E10.2",27,8,15,35
"CTD-2547E10.3",0,0,0,0
"CTD-2547G23.2",0,0,0,0
"CTD-2547H18.1",0,0,0,0
"CTD-2547L16.1",17,11,9,8
"CTD-2547L16.2",0,0,0,0
"CTD-2547L16.3",66,81,131,178
"CTD-2547L24.3",2,2,5,1
"CTD-2547L24.4",1,0,2,5
"CTD-2550O8.7",0,0,0,1
"CTD-2552B11.2",121,80,130,227
"CTD-2552B11.3",0,0,0,0
"CTD-2552K11.2",0,0,0,0
"CTD-2553C6.1",1,0,0,0
"CTD-2553L13.4",0,0,0,0
"CTD-2553L13.7",1,1,0,1
"CTD-2554C21.1",884,617,996,1131
"CTD-2554C21.2",0,0,4,2
"CTD-2554C21.3",0,2,8,14
"CTD-2555A7.1",0,0,0,0
"CTD-2555A7.2",0,0,0,0
"CTD-2555A7.3",0,1,0,3
"CTD-2555C10.3",0,0,0,0
"CTD-2555I5.1",0,0,0,0
"CTD-2555K7.1",0,0,0,0
"CTD-2555K7.2",1,1,5,3
"CTD-2555K7.3",0,0,0,0
"CTD-2555K7.4",2,3,4,0
"CTD-2555O16.1",0,0,0,2
"CTD-2555O16.2",10,15,39,40
"CTD-2555O16.3",1,0,0,0
"CTD-2555O16.4",30,39,37,29
"CTD-2557P19.1",0,0,0,0
"CTD-2557P19.4",0,0,0,0
"CTD-2560C21.1",0,0,0,0
"CTD-2560E9.3",0,0,0,1
"CTD-2560E9.5",0,0,0,0
"CTD-2560K21.6",0,0,0,0
"CTD-2561B21.10",0,0,1,2
"CTD-2561B21.11",1,0,0,1
"CTD-2561B21.3",0,0,0,0
"CTD-2561B21.4",0,0,0,0
"CTD-2561B21.5",3,1,0,3
"CTD-2561B21.7",0,0,0,0
"CTD-2561F5.1",0,0,0,0
"CTD-2561J22.1",0,0,0,0
"CTD-2561J22.2",10,2,6,8
"CTD-2561J22.3",0,0,0,0
"CTD-2561J22.5",2,9,0,6
"CTD-2561J22.6",1,0,0,0
"CTD-2562G15.2",0,0,0,0
"CTD-2562J15.4",0,0,0,1
"CTD-2562J15.6",0,0,0,0
"CTD-2562J17.2",0,0,0,0
"CTD-2562J17.4",0,0,0,0
"CTD-2562J17.7",84,86,91,92
"CTD-2562J17.9",0,0,0,0
"CTD-2566J3.1",0,0,0,0
"CTD-2568A17.1",1,0,1,0
"CTD-2568A17.5",3,0,1,9
"CTD-2568A17.8",0,0,0,0
"CTD-2568P8.1",0,0,0,0
"CTD-2571E19.1",35,31,39,79
"CTD-2571E19.3",5,2,2,8
"CTD-2571L23.6",4,0,12,5
"CTD-2571L23.8",1,1,2,1
"CTD-2571L23.9",0,0,0,0
"CTD-2572N17.1",0,0,0,0
"CTD-2574D22.2",10,2,11,18
"CTD-2574D22.4",31,10,36,32
"CTD-2575K13.6",0,3,1,3
"CTD-2576D5.2",6,8,6,7
"CTD-2576D5.3",1,0,0,0
"CTD-2576D5.4",0,0,0,0
"CTD-2576F9.1",3070,1277,2876,2834
"CTD-2576F9.2",0,0,0,0
"CTD-2579N5.3",0,0,0,0
"CTD-2579N5.4",0,0,0,0
"CTD-2579N5.5",0,0,0,0
"CTD-2582D11.1",0,0,0,0
"CTD-2582M21.1",0,0,0,0
"CTD-2583A14.1",0,0,0,1
"CTD-2583A14.10",0,0,0,0
"CTD-2583A14.11",15,17,18,46
"CTD-2583A14.8",24,38,21,36
"CTD-2583A14.9",0,0,0,0
"CTD-2583P5.1",0,0,0,0
"CTD-2583P5.3",0,0,0,0
"CTD-2586B10.1",0,0,0,0
"CTD-2587H19.1",0,0,0,0
"CTD-2587H19.2",4,0,1,0
"CTD-2587H19.3",0,0,2,0
"CTD-2587H24.1",2,2,0,2
"CTD-2587H24.10",1,0,3,3
"CTD-2587H24.4",0,0,0,0
"CTD-2587H24.5",8,5,10,4
"CTD-2587M2.1",7,5,1,9
"CTD-2587M23.1",0,0,0,0
"CTD-2588C8.8",1,1,0,1
"CTD-2588J1.1",0,0,0,0
"CTD-2588J6.1",0,0,0,0
"CTD-2588J6.2",0,0,0,1
"CTD-2589H19.4",0,1,0,0
"CTD-2589H19.6",2,1,3,5
"CTD-2589M5.4",0,0,1,1
"CTD-2589M5.5",0,1,0,1
"CTD-2589O24.1",23,3,14,10
"CTD-2591A6.2",0,0,0,0
"CTD-2593A12.2",0,0,0,0
"CTD-2593A12.3",0,0,0,0
"CTD-2593A12.4",31,11,23,31
"CTD-2596O15.1",0,0,0,0
"CTD-2600O9.1",0,0,0,0
"CTD-2607J13.1",0,0,1,0
"CTD-2609K8.3",0,0,1,4
"CTD-2611K5.5",6,9,17,21
"CTD-2611O12.6",0,0,0,2
"CTD-2611O12.7",0,0,0,4
"CTD-2611O12.8",0,0,0,0
"CTD-2612A24.1",0,0,0,0
"CTD-2613O8.1",0,0,0,0
"CTD-2616J11.10",3,0,0,0
"CTD-2616J11.11",0,0,0,0
"CTD-2616J11.14",0,0,0,0
"CTD-2616J11.15",0,0,0,0
"CTD-2616J11.16",0,0,0,0
"CTD-2616J11.2",0,0,0,0
"CTD-2616J11.3",0,0,0,0
"CTD-2616J11.9",0,0,0,0
"CTD-2619J13.1",1,0,0,0
"CTD-2619J13.13",4,0,0,0
"CTD-2619J13.14",251,222,306,292
"CTD-2619J13.16",16,7,11,18
"CTD-2619J13.17",57,89,95,189
"CTD-2619J13.19",25,10,27,20
"CTD-2619J13.23",0,0,0,0
"CTD-2619J13.3",6,1,10,14
"CTD-2619J13.8",19,37,26,54
"CTD-2619J13.9",49,35,48,69
"CTD-2620I22.1",0,0,0,0
"CTD-2620I22.2",313,224,302,331
"CTD-2620I22.3",1,0,1,0
"CTD-2620I22.7",10,7,15,16
"CTD-2621I17.6",0,0,0,0
"CTD-2622I13.3",20,2,5,9
"CTD-2623H2.7",0,0,0,0
"CTD-2623N2.11",0,0,0,2
"CTD-2623N2.3",42,25,28,27
"CTD-2623N2.5",0,0,0,4
"CTD-2626G11.1",0,0,0,0
"CTD-2626G11.2",0,0,0,0
"CTD-2626G11.3",0,0,0,0
"CTD-2630F21.1",15,26,32,31
"CTD-2631K10.1",0,0,0,3
"CTD-2632K10.1",0,0,0,0
"CTD-2636A23.2",1,0,0,1
"CTD-2639E6.4",3,0,3,3
"CTD-2639E6.9",1,1,0,2
"CTD-2643I7.1",0,0,0,0
"CTD-2643K12.1",256,182,283,285
"CTD-2643K12.2",0,0,0,0
"CTD-2643K12.3",0,0,0,0
"CTD-2644I21.1",0,0,0,0
"CTD-2647E9.1",57,25,49,78
"CTD-2647E9.3",1,2,14,5
"CTD-2647L4.1",0,0,0,1
"CTD-2647L4.4",61,43,75,75
"CTD-2647L4.5",0,0,0,0
"CTD-2649C14.1",0,0,0,0
"CTD-2650P22.1",0,0,1,0
"CTD-2651B20.1",0,0,0,0
"CTD-2651B20.2",0,0,0,0
"CTD-2651B20.3",0,9,0,36
"CTD-2651B20.4",0,0,0,0
"CTD-2651B20.5",0,0,0,0
"CTD-2651B20.6",0,0,0,0
"CTD-2651B20.7",0,0,0,0
"CTD-2651C21.3",127,159,222,219
"CTD-2653B5.1",0,0,0,0
"CTD-2653D5.1",0,1,0,3
"CTD-2653M23.3",0,0,1,0
"CTD-2655K5.1",0,1,0,0
"CTD-2659N19.10",0,0,0,0
"CTD-2659N19.2",0,0,0,0
"CTD-2659N19.4",0,0,0,1
"CTD-2659N19.9",0,0,1,4
"CTD-2666L21.1",2,1,2,2
"CTD-2666L21.2",2,0,0,5
"CTD-2666L21.3",1119,416,1348,784
"CTD-3001H11.1",0,0,0,0
"CTD-3006G17.2",0,0,0,0
"CTD-3007L5.1",0,0,0,0
"CTD-3010D24.3",0,0,0,0
"CTD-3012A18.1",0,0,1,0
"CTD-3018O17.3",146,94,186,300
"CTD-3020H12.3",0,0,0,0
"CTD-3020H12.4",0,0,1,0
"CTD-3023J11.2",0,0,0,0
"CTD-3023L14.1",0,0,0,0
"CTD-3023L14.2",1,0,0,0
"CTD-3023L14.3",0,0,0,0
"CTD-3025N20.2",0,0,0,0
"CTD-3025N20.3",8,25,12,11
"CTD-3028N15.1",0,0,0,0
"CTD-3030D20.1",1,0,0,0
"CTD-3030D20.2",0,0,1,0
"CTD-3032H12.1",0,0,0,0
"CTD-3032H12.2",0,0,0,0
"CTD-3032H12.3",0,0,0,0
"CTD-3032J10.2",1,0,0,0
"CTD-3032J10.3",1,0,0,1
"CTD-3032J10.4",1,1,2,3
"CTD-3035D6.1",224,72,288,102
"CTD-3035D6.2",1,0,0,0
"CTD-3037G24.3",0,0,1,3
"CTD-3037G24.4",1,2,0,0
"CTD-3046C4.1",0,0,0,0
"CTD-3049M7.1",1,0,0,0
"CTD-3051D23.1",2,1,3,3
"CTD-3051D23.3",0,0,3,1
"CTD-3051D23.4",0,0,0,1
"CTD-3051L14.13",0,0,0,0
"CTD-3051L14.14",0,0,0,0
"CTD-3057O21.1",2,7,4,2
"CTD-3060P21.1",0,0,0,0
"CTD-3064C13.1",0,0,0,0
"CTD-3064H18.1",1,3,9,14
"CTD-3064H18.2",0,0,0,1
"CTD-3064H18.4",4,0,2,5
"CTD-3064M3.1",0,0,0,0
"CTD-3064M3.3",5,2,6,23
"CTD-3064M3.4",0,0,0,0
"CTD-3064M3.7",0,0,0,0
"CTD-3065B20.2",2,2,6,5
"CTD-3065B20.3",5,0,2,4
"CTD-3065J16.6",0,0,1,0
"CTD-3065J16.9",27,19,23,42
"CTD-3073N11.5",0,0,0,0
"CTD-3073N11.7",0,0,0,0
"CTD-3073N11.9",0,0,0,0
"CTD-3074O7.11",0,0,0,0
"CTD-3074O7.12",158,144,179,276
"CTD-3074O7.2",0,0,0,1
"CTD-3074O7.5",37,32,43,66
"CTD-3074O7.7",3,1,0,1
"CTD-3076O17.1",1,0,0,1
"CTD-3076O17.2",0,0,1,0
"CTD-3080F16.3",0,1,0,0
"CTD-3080P12.3",0,0,0,0
"CTD-3088G3.4",0,1,0,0
"CTD-3088G3.6",0,0,0,0
"CTD-3088G3.8",10,9,28,17
"CTD-3092A11.1",6,4,13,16
"CTD-3092A11.2",104,103,154,140
"CTD-3093M3.1",13,14,12,13
"CTD-3094K11.1",0,0,0,0
"CTD-3096M3.1",0,0,0,0
"CTD-3096M3.2",0,0,0,0
"CTD-3096P4.1",0,0,0,0
"CTD-3098H1.2",0,0,0,0
"CTD-3099C6.11",23,8,15,16
"CTD-3099C6.5",4,3,5,10
"CTD-3099C6.7",0,0,0,0
"CTD-3099C6.9",71,37,49,122
"CTD-3105H18.10",0,0,0,0
"CTD-3105H18.11",0,1,0,0
"CTD-3105H18.13",2,4,1,5
"CTD-3105H18.14",0,0,0,1
"CTD-3105H18.16",0,0,0,0
"CTD-3105H18.18",1,3,0,1
"CTD-3105H18.4",0,0,0,0
"CTD-3105H18.5",0,0,0,0
"CTD-3105H18.7",0,0,0,0
"CTD-3105H18.8",0,0,0,0
"CTD-3105H18.9",0,0,0,0
"CTD-3107M8.1",21,16,19,27
"CTD-3107M8.2",0,0,1,0
"CTD-3110H11.1",44,4,43,21
"CTD-3113P16.5",0,0,0,0
"CTD-3113P16.7",0,0,0,0
"CTD-3113P16.9",0,0,0,0
"CTD-3116E22.6",0,0,0,0
"CTD-3116E22.7",1,1,1,2
"CTD-3118D11.2",0,0,0,0
"CTD-3118D11.3",0,0,0,0
"CTD-3118D7.1",0,0,0,0
"CTD-3126B10.1",0,0,0,0
"CTD-3126B10.4",0,0,1,1
"CTD-3128G10.6",2,2,0,11
"CTD-3131K8.1",0,0,0,0
"CTD-3131K8.2",22,15,32,45
"CTD-3131K8.3",0,3,5,5
"CTD-3135A9.3",0,0,0,0
"CTD-3137H5.1",1,1,0,0
"CTD-3138B18.4",0,0,0,0
"CTD-3138B18.5",52,18,47,118
"CTD-3138B18.6",5,3,4,9
"CTD-3138F19.1",0,0,0,0
"CTD-3141N22.1",0,0,0,0
